a	あ
pyv	ぴぇい
pgv	ぴぇい
thv	てぇい
twv	てぇい
dwv	でぇい
jyv	じぇい
hwv	ふぇい
kwv	くぇい
gwv	ぐぇい
fyv	ふぇい
lv	ぇい
lyv	ぇい
vv	ゔぇい

kl	くう
sl	すう
tl	つう
nl	ぬう
hl	ふう
ml	むう
yl	ゆう
rl	るう
wl	うう
gl	ぐう
zl	ずう
dl	づう
bl	ぶう
pl	ぷう
kyl	きゅう
syl	しゅう
sgl	しゅう
tyl	ちゅう
nyl	にゅう
hyl	ひゅう
hgl	ひゅう
fl	ふう
myl	みゅう
ryl	りゅう
gyl	ぎゅう
zyl	じゅう
zgl	じゅう
jl	じゅう
dyl	ぢゅう
byl	びゅう
bgl	びゅう
pyl	ぴゅう
pgl	ぴゅう
thl	てゅう
twl	とぅう
dwl	どぅう
jyl	じゅう
hwl	ふう
kwl	くう
gwl	ぐう
fyl	ふゅう
ll	ぅう
lyl	ゅう
vl	ゔう

k-	こい
s-	そい
t-	とい
n-	のい
h-	ほい
m-	もい
y-	よい
r-	ろい
w-	をい
g-	ごい
z-	ぞい
d-	どい
b-	ぼい
p-	ぽい
ky-	きょい
sy-	しょい
sg-	しょい
ty-	ちょい
ny-	にょい
hy-	ひょい
hg-	ひょい
f-	ふぉい
my-	みょい
ry-	りょい
gy-	ぎょい
zy-	じょい
zg-	じょい
j-	じょい
dy-	ぢょい
by-	びょい
bg-	びょい
py-	ぴょい
pg-	ぴょい
tw-	とぉい
dw-	どぉい
jy-	じょい
hw-	とぉい
kw-	くぉい
gw-	ぐぉい
fy-	ふょい
l-	ぉい
ly-	ょい
v-	ゔう
